"id","id_name","Heading_date","Plant_height","Num_panicles","Num_effective_panicles","Yield","Grain_weight","Spikelet_length","Grain_length","Grain_width","Grain_thickness"
"335","W133","95","157.80000305","21","20.799999237060547","37.090000153","24.180000305","25.299999237061","8.8599996567","2.8199999332","1.9700000286102"
"336","W134","97","150","16","16","49.840000153","19.879999161","25.819999694824","9.6999998093","2.5899999142","1.8799999952316"
"337","W135","105","172.80000305","16","15.600000381469727","49.13999939","22.36000061","25.290000915527","8.029999733","3.0099999905","1.9800000190735"
"338","W136","116","188.6000061","18.600000381","18.200000762939453","21.790000916","22.620000839","25.559999465942","8.4099998474","2.5699999332","1.960000038147"
"339","W137","104","125.59999847","16.799999237","16.799999237060547","34.349998474","30.729999542","22.469999313354","9.9300003052","3.3099999428","2.0099999904633"
"340","W138","79","102","28.399999619","28.399999618530273","64.86000061","20.25","22.979999542236","8.25","2.7200000286","1.8500000238419"
"341","W139","45","96.400001526","23.399999619","22.200000762939453","20.340000153","25.129999161","16.510000228882","7.3299999237","3.5999999046","2.1700000762939"
"342","W140","96","145.80000305","18.600000381","18.600000381469727","38.400001526","25.090000153","23.340000152588","8.4899997711","3.0799999237","1.9900000095367"
"343","W141","86","151.6000061","18.399999619","18.399999618530273","37.549999237","30.059999466","24.200000762939","8.9099998474","3.4500000477","2.1099998950958"
"344","W142","85","149.3999939","11.800000191","11.800000190734863","27.190000534","20.920000076","24.120000839233","7.6100001335","3.1300001144","1.8999999761581"
"345","W143","112","196.80000305","12.600000381","12.399999618530273","13.770000458","17.88999939","27.590000152588","8.029999733","3.1500000954","1.75"
"346","W144","105","168.3999939","16.600000381","16.600000381469727","39.580001831","22.090000153","24.610000610352","8.3299999237","2.9600000381","2"
"347","W145","114","177.3999939","10.600000381","10.600000381469727","25.75","22.469999313","22.549999237061","7.9499998093","3.1300001144","2.039999961853"
"348","W146","77","127.40000153","29.799999237","29.799999237060547","64.449996948","23.86000061","23.590000152588","7.7600002289","3.2899999619","2.0699999332428"
"349","W147","100","117.59999847","19.799999237","19.799999237060547","65.870002747","24.579999924","26.459999084473","9.0699996948","2.6600000858","1.9400000572205"
"350","W148","107","168.3999939","15.199999809","15.199999809265137","53.040000916","24.579999924","23.159999847412","8.029999733","3.4500000477","2.0299999713898"
"351","W149","93","112.59999847","16","16","45.400001526","27.850000381","23.420000076294","9.5399999619","3.0299999714","2.0799999237061"
"352","W150","112","104.59999847","15.800000191","15.199999809265137","36.180000305","24.920000076","26.379999160767","9.3699998856","2.8499999046","1.9700000286102"
"353","W151","81","98","16","15.75","51.340000153","22.280000687","25.090000152588","8.470000267","2.8199999332","2"
"354","W152","101","110","16.600000381","16.600000381469727","47.869998932","25.309999466","25.520000457764","9.9899997711","2.6500000954","1.8999999761581"
"355","W153","98","103.80000305","11.600000381","11.600000381469727","48.479999542","25.88999939","25.469999313354","9.720000267","2.7300000191","1.9700000286102"
"356","W154","87","102.40000153","15","14.800000190734863","60.979999542","17.659999847","25.440000534058","8.3999996185","2.8499999046","1.7799999713898"
"357","W155","83","98.400001526","13.399999619","13.399999618530273","44.830001831","22.379999161","26.870000839233","8.75","2.7999999523","1.9299999475479"
"358","W156","91","99.199996948","13.399999619","13.399999618530273","40.36000061","30.989999771","24.770000457764","7.9099998474","3.1700000763","2.1099998950958"
"359","W157","94","95.199996948","13.199999809","13.199999809265137","46.169998169","24.069999695","22.190000534058","8","2.8499999046","1.9400000572205"
"360","W158","89","107.19999695","14.199999809","14.199999809265137","51.520000458","39.569999695","24.39999961853","8.220000267","2.9100000858","2.039999961853"
"361","W159","90","95.199996948","16.200000763","16.200000762939453","48.61000061","22.469999313","24.159999847412","8.4499998093","2.8800001144","1.9199999570847"
"362","W160","89","96","8.3999996185","8.399999618530273","42.63999939","30","16.620000839233","6.8499999046","3.6300001144","2.2300000190735"
"363","W161","82","102","17","17","49.919998169","23.149999619","22.049999237061","8.8400001526","2.8699998856","1.9199999570847"
"364","W162","105","98.400001526","20.799999237","20.600000381469727","74.839996338","23.430000305","18.549999237061","6.9099998474","3.4300000668","2.2300000190735"
"365","W163","89","91.400001526","23.799999237","23.799999237060547","78.870002747","19.379999161","22.139999389648","7.9400000572","2.5599999428","1.7799999713898"
"366","W164","76","88.599998474","19.799999237","19.799999237060547","56.009998322","21.430000305","23.680000305176","8.8900003433","2.6300001144","1.9500000476837"
"367","W165","91","103.80000305","13.399999619","13.399999618530273","52.529998779","23.5","21.85000038147","7.7699999809","3.1900000572","2.0799999237061"
"368","W166","103","137.80000305","9.8000001907","9.800000190734863","66.809997559","24.63999939","28.909999847412","8.1700000763","3.0299999714","2.0199999809265"
